start_station;end_station;start_date;minutes
Maguire / Saint-Dominique;Maguire / St-Laurent;10/09/2021 14:47:01;73
McNamara / St-Martin O;Métro Montmorency;07/09/2022 18:51:04;73
Parc Félix-Leclerc (François-Boivin / St-Zotique);de l'Hôtel-de-Ville / Ste-Catherine;25/08/2022 12:14:13;73
Ste-Catherine / Bishop;Métro Champ-de-Mars (Viger / Sanguinet);09/10/2022 18:46:34;73
Chabot / Laurier;Cartier / Masson;15/11/2021 21:39:36;72
Montcalm / Ontario;Métro Mont-Royal (Rivard / du Mont-Royal);26/08/2021 17:26:06;72
Dumesnil / Bélanger;Jardin Botanique (Pie-IX / Sherbrooke);06/05/2021 16:55:20;71
Fleury / André-Jobin;Jean-Brillant / de la Côte-des-Neiges;06/05/2021 20:12:42;71
Letourneaux / Ste-Catherine;10e avenue / Masson;10/08/2021 00:47:07;71
Métro de la Concorde (Léo-Lacombe);Legrand / Cartier;04/06/2022 23:13:14;71
Parc Hébert (Provencher / Buies);28e avenue / Rosemont;10/08/2021 18:26:32;71
Parc St-Laurent (Salk / Thomas-Chapais);Cégep Marie-Victorin;07/06/2022 11:45:42;71
McLynn / Plamondon;de Kent / de la Côte-des-Neiges;29/07/2022 18:50:24;70
du Mont-Royal / Augustin-Frigon;18e avenue / Rosemont;21/07/2022 19:10:07;70
Notre-Dame / Liébert;de Gaspé / Fairmount;24/04/2021 15:44:55;69
St-Viateur / Casgrain;Parc Jean-Drapeau (Chemin Macdonald);10/11/2021 12:06:46;69
de Mentana / Gilford;Boyer / du Mont-Royal;30/06/2021 23:45:58;69
Bordeaux / Mont-Royal;Place des Festivals ( du Président-Kennedy / de Bleury);16/10/2022 16:50:21;68
Hôpital Général Juif (de la Côte-Ste-Catherine / Légaré);Parc de la Confédération (Fielding / West Hill);23/10/2022 17:32:37;68
Labelle / Ste-Catherine;St-Christophe / René-Lévesque;14/10/2021 16:44:54;68
Parc Labelle (Lasalle/ Henri Duhamel);BAnQ (Berri / de Maisonneuve);24/05/2021 17:23:38;68
Vendôme / Sherbrooke;Valois / Ste-Catherine;31/07/2021 12:24:39;68
Villeneuve / St-Denis;Villeneuve / de l'Hôtel-de-Ville;22/07/2021 15:11:01;68
Parc Reine-Élizabeth (Penniston / Crawford);16e avenue / Jean-Talon;18/07/2022 13:51:20;67
Parc d'Antioche (Place d'Antioche / St-Zotique);Argyle / de Verdun;23/05/2021 14:51:24;67
Parc Ivan-Franko (33e avenue / Victoria);8e avenue / Notre-Dame Lachine;09/08/2022 02:17:37;66
Parc Loyola (Somerled / Doherty);U. Concordia - Campus Loyola (Sherbrooke / West Broadway);24/07/2022 11:38:01;66
St-Charles / Labonté;St-Charles / Montarville;11/07/2022 19:32:37;66
Mayfield / St-Martin O;Clark / de Liège;09/10/2022 16:01:19;65
Montmorency / Richardson;Quai de la navette fluviale;17/09/2022 10:33:08;65
Beurling / Godin;LaSalle / 80e avenue;18/08/2021 14:22:01;64
Gilford / des Érables;Métro Lionel-Groulx (St-Jacques / Atwater);16/05/2022 15:56:35;64
Parc St-Laurent (Dutrisac);Jean-Brillant / de la Côte-des-Neiges;01/07/2022 23:21:27;64
Soeurs-Grises / Margueritte d'Youville;Marché Atwater;01/10/2022 17:23:59;64
Ann / Ottawa;Parc Dixie (54e avenue / Dixie);06/11/2021 15:33:38;63
de Brébeuf / Gilford;de Gaspé / Fairmount;22/10/2022 21:50:41;63
de Chateaubriand / Leman;Chambord / Fleury;03/08/2021 08:49:01;63
de la Rotonde / Jacques-Le Ber;Casino de Montréal;24/05/2021 12:40:28;63
21e avenue / St-Joseph Lachine;2e avenue / Wellington;25/05/2022 13:27:22;62
5e avenue / Bannantyne;Valois / Ste-Catherine;18/04/2021 18:43:51;62
Hutchison / Beaumont;Ball / Querbes;26/07/2021 21:05:24;62
Keller / Cousineau;Louisbourg / O'brien;01/11/2022 18:38:22;62
Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand);Parc Jean-Drapeau (Chemin Macdonald);18/06/2022 09:10:18;62
Dorion / Sherbrooke;Chabot / du Mont-Royal;04/10/2022 17:28:23;61
Fabrik8 (Waverly / Jean-Talon);St-Ambroise / Louis-Cyr;22/10/2022 03:08:55;61
Gare Montpellier (Muir / de la Côte-Vertu);CHU Ste-Justine (de la Côte Ste-Catherine / Hudson);09/09/2022 16:40:27;61
Sainte-Catherine / Guy;Metcalfe / du Square-Dorchester;01/08/2022 11:43:52;61
8e avenue / Jarry;du President-Kennedy / Union;21/05/2021 14:58:23;60
Boyer / Rachel;Clark / St-Viateur;03/07/2021 16:34:15;60
Métro Laurier (Bibaud / Rivard);5e avenue / Bannantyne;13/06/2022 19:23:23;60
Square Viger (Berri / Viger);Travaux publics LaSalle (Cordner / Léger);11/11/2022 14:07:03;60
St-Mathieu / Tupper;de la Commune / St-Sulpice;30/09/2022 16:29:03;60
de Grosbois / Duchesneau;des Ormeaux / de Grosbois;04/09/2021 17:40:41;60
Parc du Mail (Bois de Coulonges / du Mail);d'Orléans / Masson;03/11/2022 21:43:25;59
Dandurand / de Lorimier;Parc Jeanne Mance (monument sir George-Etienne Cartier);22/08/2021 17:37:41;57
Parc Garibaldi (Liénart / Bélanger);de Bleury / de Maisonneuve;17/09/2022 13:41:45;57
St-Gérard / Villeray;Cartier / Masson;13/04/2021 18:28:47;57
8e avenue / Saint-Joseph Lachine;Marché Atwater;10/08/2021 15:06:14;56
Dorion / Gauthier;Notre-Dame / St-Gabriel;20/10/2021 12:39:04;56
Parc Langelier - Marie-Victorin;St-Dominique / St-Zotique;28/08/2021 18:27:17;56
de Châteauguay / Ropery;de la Commune / Place Jacques-Cartier;31/07/2022 10:36:47;56
Le Corbusier / St-Martin O;11e avenue / du Souvenir;21/09/2022 15:26:01;55
Lusignan / St-Jacques;Métro Guy-Concordia (Guy / St-Catherine);12/10/2021 20:05:02;55
Mairie d'arrondissement St-Laurent (Beaudet / Marcel-Laurin);de la Commune / King;02/09/2022 07:40:07;55
Métro Lionel-Groulx (Walker / Saint-Jacques);Milton / Clark;18/06/2021 20:42:05;55
Parc de l'Hôtel-de-Ville (Laurendeau / Ste-Julie);Ann / Wellington;17/08/2022 14:14:07;55
Clark / St-Zotique;Waverly / St-Viateur;14/10/2021 11:27:38;54
Dixie / 53e avenue;Drummond / Ste-Catherine;01/09/2021 13:08:13;54
de Chenonceau / Chomedey;Chapleau / du Mont-Royal;20/08/2022 14:21:49;54
18e avenue / St-Joseph Lachine;de la Commune / St-Sulpice;24/04/2021 11:45:48;53
CHSLD Joseph-François-Perrault (St-Michel / Everett);Guilbault / Clark;10/11/2022 21:19:42;53
Bibliothèque du Vieux-St-Laurent (de l'Église / Filiatrault);11e avenue / du Souvenir;16/08/2022 09:38:47;52
Duluth / St-Denis;Waverly / St-Viateur;29/05/2021 23:16:49;52
Northcliffe / Notre-Dame-de-Grâce;Lajeunesse / Villeray;29/06/2022 17:14:06;52
Parc Olympique (Pie-IX / Sherbrooke);Parc Garibaldi (Liénart / Bélanger);21/08/2022 09:53:21;51
St-Cuthbert / St-Urbain;Marché Atwater;04/08/2021 15:12:11;51
Marquette / Jean-Talon;Jeanne-Mance / Bernard;17/04/2021 08:14:40;50
Métro St-Laurent Dépôt ( de Maisonneuve / St-Laurent);Bloomfield / Bernard;19/07/2022 21:35:40;50
Parc Grovehill (St-Antoine / Ivan-Franko);Métro Charlevoix (Centre / Charlevoix);16/07/2022 09:51:07;50
de Grosbois / Ducheneau;15e avenue / Masson;12/05/2021 12:21:08;50
des Bassins / Richmond;Gordon / Wellington;11/04/2021 09:02:46;50
Garnier / du Mont-Royal;de Bullion / du Mont-Royal;16/04/2021 14:40:26;49
Guizot / Clark;Bishop / René-Lévesque;06/07/2021 15:12:31;49
Hochelaga / de l'Assomption;Drolet / Beaubien;20/09/2022 16:33:48;49
Parc Nicolas-Tillemont (des Érables / Villeray);Parc Wilfrid-Bastien (Lacordaire / des Galets);07/09/2022 17:40:35;49
Sicard / Adam;Place du Canada (Peel / de la Gauchetière);23/08/2021 23:07:13;49
d'Orléans / du Mont-Royal;Métro Acadie (de l'Acadie / Beaumont);28/05/2021 12:04:43;49
St-Hubert / de Maisonneuve (nord);Ste-Catherine / Union;22/10/2022 21:48:03;48
Hutchison/ Van Horne;16e avenue / Beaubien;22/04/2022 16:01:20;47
Métro Beaudry ( Beaudry / Ste-Catherine);Métro Sherbrooke (de Rigaud / St-Denis);24/09/2022 19:13:37;47
Parc Dixie (54e avenue / Dixie);Marché Atwater;13/11/2021 12:59:15;47
Alexis-Nihon / St-Louis;du Mont-Royal / Clark;25/08/2021 19:50:46;46
Berri / Duluth;U. Concordia - Campus Loyola (Sherbrooke / West Broadway);07/10/2021 08:13:53;46
King / de la Commune;Richmond / des Bassins;15/06/2022 13:25:30;46
Parc Courbertin (Valéry / Perrier);Parc Luigi-Pirandello (de Bretagne / Jean-Rivard);01/11/2022 18:19:06;46
Parc Henri-Durant (Léger / Henri-Durant);Parc Chopin (Dumouchel / Tessier);11/09/2021 07:08:50;46
St-Hubert / René-Lévesque;St-Denis / René-Lévesque;10/04/2021 18:43:46;46
de l'Hôtel-de-Ville / St-Joseph;Marché Atwater;07/09/2021 14:21:25;46
Evans / Clark;Jeanne-d'Arc / Ontario;25/10/2022 18:04:40;45
Parc Maurice-Bélanger (Hébert / Denommée);Sabrevois / des Récollets;30/08/2022 17:10:20;45
Parc du Pélican (Laurier/ 2e avenue);de la Commune / St-Sulpice;18/09/2021 14:20:58;45
Parc Angrignon ( Lacroix / des Trinitaires);Métro Angrignon (Lamont /  des Trinitaires);28/08/2022 19:16:59;44
de la Pépinière / Pierre-de-Coubertin;de Lanaudière / Bélanger;18/04/2021 11:50:54;44
2e avenue /centrale;de la Commune / St-Sulpice;27/06/2022 13:02:37;43
Aylmer/ Sainte-Catherine;Rosemont / Viau;01/06/2021 17:40:10;43
Darling / Sherbrooke;Chabanel / du Parc;05/11/2022 09:15:35;43
Maguire / St-Dominique;Victoria / de Maisonneuve;14/11/2021 16:58:10;43
Parc Aimé-Léonard (Gouin / Ste-Gertrude);Bibliothèque d'Ahuntsic (Lajeunesse / Fleury);10/09/2022 02:36:54;43
Robert-Bourassa / de Maisonneuve;29e avenue / St-Zotique;06/11/2021 14:54:31;43
11e avenue / du Souvenir;Bélanger / St-Denis;03/09/2022 13:03:27;42
Sainte-Catherine / Union;Chapleau / Terrasse Mercure;04/05/2021 15:29:40;42
de Mentana / St-Joseph;Mackay / de Maisonneuve;06/08/2022 13:53:18;42
Parc d'Antioche ( Place d'Antioche / St-Zotique);Métro Viau (Pierre-de-Coubertin / Viau);26/04/2022 17:39:09;41
de Maisonneuve / Mansfield SE;Louis-Hébert / Bélanger;09/11/2022 17:25:04;41
du Mans / des Alouettes;Maguire / St-Laurent;11/10/2022 11:16:16;41
Parc Turin (Chambord / Jean-Talon);St-Jacques / St-Pierre;09/05/2022 08:09:13;40
19e avenue / Saint-Antoine;LaSalle / 80e avenue;10/10/2021 23:51:03;39
Parc Sauvé (Balzac / de Bayonne);de Chateaubriand / Jarry;11/05/2022 20:33:02;39
University / des Pins;Chambord / Fleury;27/10/2022 17:51:04;39
Parc Ernest-Rouleau (Gouin);Parc Aimé-Léonard (Gouin / Ste-Gertrude);10/11/2022 21:40:36;38
d'Iberville / Fleury;Bennett / Adam;31/10/2022 15:54:58;38
Parc Beaubien (Stuart / St-Viateur);St-André / Ste-Catherine;11/10/2021 18:14:35;37
Parc MacDonald (Earnscliffe / Dupuis);Dézéry / Ontario;25/05/2021 16:43:26;37
Préfontaine / Marcel-Pépin;des Érables / Rachel;21/09/2022 16:08:21;37
Robin / de la Visitation;Parc Jeanne-Mance (du Mont-Royal / du Parc);07/08/2021 05:02:37;37
Parc Outremont (Bloomfield / St-Viateur);Mackay / de Maisonneuve;17/10/2021 11:05:02;35
Durocher / Van Horne;Richardson / de Montmorency;04/10/2021 13:31:42;34
Parc Armand-Bombardier (Perras / Armand-Bombardier);Péloquin / Fleury;31/10/2022 16:42:03;34
Duluth / du Parc;Métro de l'Église (Ross / de l'Église);13/09/2022 08:11:49;32
Métro Beaudry (Beaudry / Ste-Catherine);St-André / Ste-Catherine;03/11/2022 21:58:26;32
Parc St-Paul (Marc-Sauvalle / Le Caron);St-Denis / René-Lévesque;04/11/2021 08:38:25;32
Place du Canada ( Peel / de la Gauchetière);Notre-Dame / de la Montagne;14/05/2021 15:51:53;32
St-Viateur / St-Laurent;Métro Guy-Concordia (Guy / St-Catherine);02/05/2021 13:00:04;32
Drolet / Faillon;CHU Sainte-Justine (de la Côte Sainte-Catherine / Hudson);27/10/2021 07:40:10;31
Saint-Viateur / Casgrain;Hochelaga / Chapleau;24/08/2021 17:45:03;31
Dandurand / des Érables;Prince-Arthur / du Parc;01/08/2021 11:04:29;30
Pierre-Péladeau / du Centropolis;Métro Sauvé (Berri / Sauvé);09/11/2022 16:19:12;30
de l’hôtel de ville / Saint-Joseph;Wilderton  / Van Horne;30/08/2021 16:41:08;30
du Mont-Royal / Laurendeau;de la Commune / King;07/11/2021 11:20:24;30
Centre récréatif Édouard-Rivet (Lesage / Notre-Dame);Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand);12/07/2022 18:40:50;29
Ropery / Grand Trunk;Marcil / Sherbrooke;07/10/2021 14:02:37;28
Terminus Le Carrefour (Terry-Fox / Le Carr);Parc Saint-Laurent (Dutrisac);24/10/2021 11:08:33;26
Dépôt Festivals ( de Maisonneuve / St-Laurent);Parc du Pélican (1ère avenue / Masson);27/07/2022 23:21:21;23
de Normanville / Jean-Talon;Parc Jeanne Mance (monument sir George-Etienne Cartier);17/10/2021 09:07:27;23
Delisle / George-Vanier;Ropery / Augustin-Cantin;30/09/2022 07:13:08;21
de Grenoble / de Cassis;Guizot / St-Denis;04/11/2022 00:12:15;20
Parc Hébert ( Provencher / Buies);29e avenue / St-Zotique;25/07/2021 19:12:32;18
Berri/ Duluth;St-Alexandre / Ste-Catherine;07/07/2021 08:32:24;14
Jeanne-Mance / St-Martin O;Terminus Le Carrefour (Terry-Fox / Le Carrefour);24/09/2022 09:48:21;13
Parc Saint-Laurent (Dutrisac);Laforest / Dudemaine;27/10/2021 08:24:57;13
Parc des Vétérans (des Vétérans / Broadway);Parc de Montréal-Est (Notre-Dame Est / David);23/07/2022 08:12:39;13
Robert Bourassa / Sainte-Catherine;Chomedey / de Maisonneuve;08/06/2021 15:42:11;12
Square Nelligan (des Appalaches / Alexis-Nihon);Place Rodolphe-Rousseau (Gohier / Édouard-Laurin);14/11/2022 17:42:35;12
Gare du Ruisseau (Dutrisac / Henri-Bourassa);Place Rodolphe-Rousseau (Gohier / Édouard-Laurin);13/08/2022 10:25:47;9
Parc Angrignon (Lacroix / des Trinitaires);LaSalle / Crawford;31/08/2022 18:04:20;9
Duluth  / St-Denis (2);du Mont-Royal / Clark;14/11/2022 15:20:22;6
Parc Maurice Bélanger (Forest / de l'Hôtel-de-Ville);Sabrevois / des Récollets;28/07/2021 19:04:35;6
