start_station;end_station;start_date;minutes
Union / Ste-Catherine;Jeanne-Mance / René-Lévesque;20/08/2022 08:58:37;125
Gauthier / de Lorimier;Larivière / de Lorimier;28/05/2022 22:11:12;124
LaSalle / Godin;Wellington / Hickson;23/07/2022 16:59:45;124
Marquette / Villeray;Rousselot / Jarry;22/07/2022 22:29:41;124
Waverly / Van Horne;Marmier / St-Denis;29/09/2022 04:21:34;124
Brittany / Ainsley;Graham / Wicksteed;05/11/2022 13:57:10;123
Wolfe / Ste-Catherine;Notre-Dame / St-Gabriel;05/08/2022 12:25:11;123
City Councillors / du President-Kennedy;de la Commune / St-Sulpice;05/07/2022 10:22:42;122
CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville);Métro St-Laurent 2 ( de Maisonneuve / St-Laurent);10/09/2022 01:18:20;122
St-Ambroise / Louis-Cyr;Atwater / Greene;11/11/2022 12:36:47;122
de Soissons / de Darlington;Parc Plage;20/08/2022 16:14:18;122
Parc Tino-Rossi (18e avenue / Everett);Roy / St-Denis;21/05/2022 12:27:30;121
Terminus Newman (Airlie / Lafleur);LaSalle / 80e avenue;03/07/2022 13:55:45;121
Berri /Ste-Catherine;St-André / Robin;01/09/2022 16:46:30;120
Parc Hébert (Colbert / Provencher);Aylmer / Ste-Catherine;09/10/2022 17:10:13;120
St-Jacques / des Seigneurs;Métro Georges-Vanier (St-Antoine / Canning);13/05/2022 13:53:36;120
Bloomfield / Ball;Campus MIL (Outremont / Thérèse-Lavoie Roux);30/04/2022 21:56:24;119
Grand Trunk / d'Hibernia;Hamilton / Jolicoeur;29/05/2022 15:49:25;119
Jeanne-Mance / Bernard;Querbes / Laurier;09/05/2021 13:41:42;119
des Érables / Dandurand;5e avenue / Rosemont;30/08/2022 00:05:36;119
35e avenue / Beaubien;Parc Jeanne Mance (monument sir George-Etienne Cartier);16/08/2022 18:34:13;118
Beaudet / Marcel-Laurin;de l'Eglise / St-Germain;17/05/2022 19:03:50;118
Drolet / Laurier;Guy / Sainte-Catherine;14/09/2022 13:11:10;118
Ste-Croix / Tassé;Hôpital Sacré-Coeur (Forbes);10/04/2021 14:24:53;118
16e avenue / Beaubien;12e avenue / St-Zotique;13/09/2021 12:00:39;117
